id	sid	target	pos	sense	gloss	sentence	hw	lemma
find.v_4	0441	find	v	discover.v.03	make a discovery, make a new finding	The Giants who had been anemic with the bat in their windy Candlestick Park suddenly found the formula in Milwaukee 's park .	the giants who have be anemic with the bat in their windy candlestick park suddenly find the formula in milwaukee 's park	the_D giants_N who_W have_V be_V anemic_J with_I the_D bat_N in_I their_P windy_J candlestick_N park_N suddenly_R find_V the_D formula_N in_I milwaukee_N 's_P park_N
hand.n_2	0527	hand	n	hand.n.01	the (prehensile) extremity of the superior limb	And it also stayed the hands of thousands of brooding incompetents who were meditating the abandonment of a sport whose frustrations were driving them to despair .	and it also stay the hand of thousand of brooding incompetent who be meditate the abandonment of a sport whose frustration be drive them to despair	and_C it_P also_R stay_V the_D hand_N of_I thousand_N of_I brooding_J incompetent_N who_W be_V meditate_V the_D abandonment_N of_I a_D sport_N whose_W frustration_N be_V drive_V them_P to_T despair_V
find.v_5	0552	find	v	discover.v.03	make a discovery, make a new finding	If there had been , he would have found a loophole , because Arnold is one golfer who knows the code as thoroughly as the man who wrote the book .	if there have be he would have find a loophole because arnold be one golfer who know the code as thoroughly as the man who write the book	if_I there_E have_V be_V he_P would_M have_V find_V a_D loophole_N because_I arnold_N be_V one_J golfer_N who_W know_V the_D code_N as_R thoroughly_R as_I the_D man_N who_W write_V the_D book_N
open.v_3	0595	open	v	open.v.09	make the opening move	After Thursday 's open date , Solly plans to open with Larry Jackson against the Cubs here Friday night .	after thursday 's open date solly plan to open with larry jackson against the cubs here friday night	after_I thursday_N 's_P open_J date_N solly_N plan_V to_T open_V with_I larry_N jackson_N against_I the_D cubs_N here_R friday_N night_N
find.v_6	0636	find	v	detect.v.01	discover or determine the existence, presence, or fact of	`` Several times I found the players pepping me up , where it usually is the coach who is supposed to deliver the fight talk .	several time i find the player pepping me up where it usually be the coach who be supposed to deliver the fight talk	several_J time_N i_P find_V the_D player_N pepping_V me_P up_R where_W it_P usually_R be_V the_D coach_N who_W be_V supposed_J to_V deliver_V the_D fight_N talk_N
find.v_7	0653	find	v	discover.v.03	make a discovery, make a new finding	St. Louis University found a way to win a baseball game .	st. louis university find a way to win a baseball game	st._N louis_N university_N find_V a_D way_N to_T win_V a_D baseball_N game_N
open.v_4	0659	open	v	open.v.04	begin or set in action, of meetings, speeches, recitals, etc.	The game opened a busy week for Washington .	the game open a busy week for washington	the_D game_N open_V a_D busy_J week_N for_I washington_N
find.v_8	0689	find	v	detect.v.01	discover or determine the existence, presence, or fact of	Softness is found in crushed textures .	softness be find in crushed texture	softness_N be_V find_V in_I crushed_J texture_N
run.v_8	0690	run	v	range.v.01	change or be different within limits	Styles run the gamut from slender and tapered with elongated toes to a newer squared toe shape .	styles run the gamut from slender and tapered with elongated toe to a new squared toe shape	styles_N run_V the_D gamut_N from_I slender_J and_C tapered_J with_I elongated_J toe_N to_T a_D new_J squared_J toe_J shape_N
find.v_9	0692	find	v	find.v.10	obtain through effort or management	Wine glass heels are to be found in both high and semi-heights .	wine glass heel be to be find in both high and semi-heights	wine_N glass_N heel_N be_V to_T be_V find_V in_I both_D high_J and_C semi-heights_N
find.v_10	0694	find	v	detect.v.01	discover or determine the existence, presence, or fact of	Just the barest suggestion of a heel is found on teenage pumps .	just the bare suggestion of a heel be find on teenage pump	just_R the_D bare_J suggestion_N of_I a_D heel_N be_V find_V on_I teenage_J pump_N
find.v_11	0701	find	v	find.v.10	obtain through effort or management	The citrus tones popular in clothing are also to be found afoot .	the citrus tone popular in clothing be also to be find afoot	the_D citrus_N tone_N popular_J in_I clothing_N be_V also_R to_T be_V find_V afoot_R
hand.n_3	0724	hand	n	hand.n.01	the (prehensile) extremity of the superior limb	The results were good although they are difficult to compare with hand brushing , particularly when the individual knows how to brush his teeth properly .	the result be good although they be difficult to compare with hand brushing particularly when the individual know how to brush his teeth properly	the_D result_N be_V good_J although_I they_P be_V difficult_J to_T compare_V with_I hand_N brushing_N particularly_R when_W the_D individual_N know_V how_W to_T brush_V his_P teeth_N properly_R
hand.n_4	0731	hand	n	hand.n.01	the (prehensile) extremity of the superior limb	This is a common symptom and the cause usually is pressure on the nerve leading to the affected hand .	this be a common symptom and the cause usually be pressure on the nerve lead to the affected hand	this_D be_V a_D common_J symptom_N and_C the_D cause_N usually_R be_V pressure_N on_I the_D nerve_N lead_V to_V the_D affected_J hand_N
hand.n_5	0732	hand	n	hand.n.01	the (prehensile) extremity of the superior limb	The pressure may come from muscles , tendons , or bones anywhere from the neck to the hand .	the pressure may come from muscle tendon or bone anywhere from the neck to the hand	the_D pressure_N may_M come_V from_V muscle_N tendon_N or_C bone_N anywhere_R from_I the_D neck_N to_T the_D hand_N
hand.n_6	0736	hand	n	hand.n.01	the (prehensile) extremity of the superior limb	writes : What makes my hands numb when sewing ?	write what make my hand numb when sewing	write_V what_W make_V my_P hand_N numb_J when_W sewing_N
find.v_12	0750	find	v	witness.v.02	perceive or be contemporaneous with	If the record buyer 's tastes are somewhat eclectic or even the slightest bit esoteric , he will find them satisfied on educational records .	if the record buyer 's taste be somewhat eclectic or even the slight bit esoteric he will find them satisfy on educational record	if_I the_D record_N buyer_N 's_P taste_N be_V somewhat_R eclectic_J or_C even_R the_D slight_J bit_N esoteric_J he_P will_V find_V them_P satisfy_V on_I educational_J record_N
run.v_9	0848	run	v	function.v.01	perform as expected when applied	R. H. S. Crossman , M.P. , writing in The Manchester Guardian , states that departures from West Berlin are now running at the rate not of 700 , but of 1700 a week , and applications to leave have risen to 1900 a week .	r. h. s. crossman m.p. write in the manchester guardian state that departure from west berlin be now run at the rate not of 700 but of 1700 a week and application to leave have rise to 1900 a week	r._N h._N s._N crossman_N m.p._N write_V in_I the_D manchester_D guardian_D state_V that_I departure_N from_I west_N berlin_N be_V now_R run_V at_I the_D rate_N not_R of_I 700_C but_C of_I 1700_C a_D week_N and_C application_N to_T leave_V have_V rise_V to_T 1900_C a_D week_N
tank.n_1	0860	tank	n	tank.n.01	an enclosed armored military vehicle; has a cannon and moves on caterpillar treads	Tanks lined up at the border will be no more helpful .	tanks line up at the border will be no more helpful	tanks_N line_V up_V at_I the_D border_N will_M be_V no_R more_R helpful_J
find.v_13	0913	find	v	find.v.05	come to believe on the basis of emotion, intuitions, or indefinite grounds	Certainly not in Orchestra hall where he has played countless recitals , and where Thursday night he celebrated his 20th season with the Chicago Symphony orchestra , playing the Brahms Concerto with his own slashing , demon-ridden cadenza melting into the high , pale , pure and lovely song with which a violinist unlocks the heart of the music , or forever finds it closed .	certainly not in orchestra hall where he have play countless recital and where thursday night he celebrate his 20th season with the chicago symphony orchestra play the brahms concerto with his own slashing demon-ridden cadenza melt into the high pale pure and lovely song with which a violinist unlock the heart of the music or forever find it closed	certainly_R not_R in_I orchestra_N hall_N where_W he_P have_V play_V countless_J recital_N and_C where_W thursday_N night_N he_P celebrate_V his_P 20th_J season_N with_I the_D chicago_N symphony_N orchestra_N play_V the_D brahms_N concerto_N with_I his_P own_J slashing_J demon-ridden_J cadenza_N melt_V into_I the_D high_J pale_J pure_J and_C lovely_J song_N with_I which_W a_D violinist_N unlock_V the_D heart_N of_I the_D music_N or_C forever_R find_V it_P closed_J
open.v_5	0924	open	v	open.v.02	start to operate or function or cause to start operating or functioning	The concert opened with another big romantic score , Schumann's Overture to Manfred , which suffered fate , this time with orchestral thrusts to the Byronic point to keep it afloat .	the concert open with another big romantic score schumann's overture to manfred which suffer fate this time with orchestral thrust to the byronic point to keep it afloat	the_D concert_N open_V with_I another_J big_J romantic_J score_N schumann's_N overture_N to_N manfred_N which_W suffer_V fate_N this_D time_N with_I orchestral_J thrust_N to_T the_D byronic_N point_N to_V keep_V it_P afloat_J
open.v_6	0927	open	v	open.v.02	start to operate or function or cause to start operating or functioning	The Bayreuth Festival opens July 23 with a new production of `` Tannhaeuser '' staged by Wieland Wagner , who is doing all the operas this time , and conducted by Wolfgang Sawallisch .	the bayreuth festival open july 23 with a new production of tannhaeuser stag by wieland wagner who be do all the opera this time and conduct by wolfgang sawallisch	the_D bayreuth_N festival_N open_V july_N 23_C with_I a_D new_J production_N of_I tannhaeuser_N stag_V by_I wieland_N wagner_N who_W be_V do_V all_J the_D opera_N this_D time_N and_C conduct_V by_I wolfgang_N sawallisch_N
open.v_7	0928	open	v	open.v.02	start to operate or function or cause to start operating or functioning	Sawalisch also conducts `` The Flying Dutch '' , opening July 24 .	sawalisch also conduct the flying dutch open july 24	sawalisch_N also_R conduct_V the_N flying_N dutch_N open_V july_N 24_C
open.v_8	0946	open	v	open.v.02	start to operate or function or cause to start operating or functioning	Allied Arts then notified us that the Kirov would cut short its Los Angeles booking , fly here to open Nov. 28 , and close Dec. 2 .	allied arts then notify us that the kirov would cut short its los angeles booking fly here to open nov. 28 and close dec. 2	allied_N arts_N then_R notify_V us_P that_I the_D kirov_N would_M cut_V short_V its_P los_N angeles_N booking_N fly_V here_R to_T open_V nov._N 28_C and_C close_V dec._N 2_C
open.v_9	0953	open	v	open.v.02	start to operate or function or cause to start operating or functioning	Not a chance of opening here Nov. 28 - barring that miracle .	not a chance of open here nov. 28 bar that miracle	not_R a_D chance_N of_I open_V here_R nov._N 28_C bar_V that_I miracle_N
open.v_10	0963	open	v	open.v.02	start to operate or function or cause to start operating or functioning	An exhibition of Evelyn Cibula 's paintings will open with a reception Nov. 5 at the Evanston Community center , 828 Davis st. .	an exhibition of evelyn cibula 's painting will open with a reception nov. 5 at the evanston community center 828 davis st.	an_D exhibition_N of_I evelyn_N cibula_N 's_P painting_N will_M open_V with_I a_D reception_N nov._N 5_C at_I the_D evanston_N community_N center_N 828_C davis_N st._N
find.v_14	0969	find	v	find.v.03	come upon after searching; find the location of something that was missed or lost	If there is a moral lurking among the shenanigans , it is hard to find .	if there be a moral lurk among the shenanigan it be hard to find	if_I there_E be_V a_D moral_N lurk_V among_I the_D shenanigan_N it_P be_V hard_J to_T find_V
space.n_1	0987	space	n	space.n.01	the unlimited expanse in which everything is located	The spaciousness of the Tudor cooking areas , for example , will provide needed space for the extra television sets required by modern butlers , cooks and maids .	the spaciousness of the tudor cooking area for example will provide needed space for the extra television set require by modern butler cook and maid	the_D spaciousness_N of_I the_D tudor_N cooking_N area_N for_R example_R will_M provide_V needed_J space_N for_I the_D extra_J television_N set_N require_V by_I modern_J butler_N cook_N and_C maid_N
open.v_11	1006	open	v	open.v.02	start to operate or function or cause to start operating or functioning	It is truly odd and ironic that the most handsome and impressive film yet made from Miguel de Cervantes ' `` Don Quixote '' is the brilliant Russian spectacle , done in wide screen and color , which opened yesterday at the Fifty-fifth Street and Sixty-eighth Street Playhouses .	it be truly odd and ironic that the most handsome and impressive film yet make from miguel de cervantes don quixote be the brilliant russian spectacle do in wide screen and color which open yesterday at the fifty-fifth street and sixty-eighth street playhouses	it_P be_V truly_R odd_J and_C ironic_J that_I the_R most_R handsome_J and_C impressive_J film_N yet_R make_V from_I miguel_N de_N cervantes_N don_N quixote_N be_V the_D brilliant_J russian_J spectacle_N do_V in_V wide_J screen_J and_C color_N which_W open_V yesterday_N at_I the_D fifty-fifth_N street_N and_C sixty-eighth_N street_N playhouses_N
room.n_1	1030	room	n	room.n.03	opportunity for	If so , it might be worth while to assign a future jazz show to a different department - one with enough confidence in the musical material to cut down on the number of performers and give them a little room to display their talents .	if so it might be worth while to assign a future jazz show to a different department one with enough confidence in the musical material to cut down on the number of performer and give them a little room to display their talent	if_I so_R it_P might_M be_V worth_J while_J to_T assign_V a_D future_J jazz_N show_N to_T a_D different_J department_N one_C with_I enough_J confidence_N in_I the_D musical_J material_N to_J cut_V down_V on_V the_D number_N of_I performer_N and_C give_V them_P a_R little_R room_N to_T display_V their_P talent_N
run.v_10	1060	run	v	run.v.01	move fast by using one's feet, with one foot off the ground at any given time	Miss Sutherland appeared almost as another person in this scene : A much more girlish Lucia , a sensational coloratura who ran across stage while singing , and an actress immersed in her role .	miss sutherland appear almost as another person in this scene a much more girlish lucia a sensational coloratura who run across stage while singing and an actress immerse in her role	miss_N sutherland_N appear_V almost_R as_R another_D person_N in_R this_R scene_N a_D much_R more_R girlish_J lucia_N a_D sensational_J coloratura_N who_W run_V across_V stage_N while_I singing_N and_C an_D actress_N immerse_V in_I her_P role_N
room.n_2	1094	room	n	room.n.01	an area within a building enclosed by walls and floor and ceiling	Only too often , however , you have the feeling that you are sitting in a room with some of the instruments lined up on one wall to your left and others facing them on the wall to your right .	only too often however you have the feeling that you be sit in a room with some of the instrument line up on one wall to your left and others face them on the wall to your right	only_R too_R often_R however_R you_P have_V the_V feeling_N that_I you_P be_V sit_V in_I a_D room_N with_I some_D of_I the_D instrument_N line_V up_V on_I one_J wall_N to_T your_P left_N and_R others_R face_V them_P on_I the_D wall_N to_T your_P right_N
room.n_3	1095	room	n	room.n.01	an area within a building enclosed by walls and floor and ceiling	They are definitely in the same room with you , but your head starts to swing as though you were sitting on the very edge of a tennis court watching a spirited volley .	they be definitely in the same room with you but your head start to swing as though you be sit on the very edge of a tennis court watch a spirited volley	they_P be_V definitely_R in_I the_D same_J room_N with_I you_P but_C your_P head_N start_V to_T swing_V as_I though_I you_P be_V sit_V on_I the_D very_R edge_N of_I a_D tennis_N court_N watch_V a_D spirited_J volley_N
open.v_12	1141	open	v	open.v.02	start to operate or function or cause to start operating or functioning	The angriest young man in Newport last night was at the Playhouse , where `` Epitaph for George Dillon '' opened as the jazz festival closed .	the angry young man in newport last night be at the playhouse where epitaph for george dillon open as the jazz festival close	the_D angry_J young_N man_N in_I newport_N last_J night_N be_V at_I the_D playhouse_N where_W epitaph_N for_N george_N dillon_N open_V as_I the_D jazz_N festival_N close_V
run.v_11	1195	run	v	campaign.v.01	run, stand, or compete for an office or a position	LaGuardia 's multi lingual rallies , when he is running for Congress , are well staged , and wind up in a wild Jewish folk-dance that is really great musical theater .	laguardia 's multi lingual rally when he be run for congress be well stag and wind up in a wild jewish folk-dance that be really great musical theater	laguardia_N 's_P multi_J lingual_J rally_N when_W he_P be_V run_V for_I congress_N be_V well_R stag_V and_C wind_V up_V in_I a_D wild_J jewish_J folk-dance_N that_R be_V really_R great_J musical_N theater_N
tank.n_2	1211	tank	n	tank.n.02	a large (usually metallic) vessel for holding gases or liquids	There are some sharp and whipping lines and some hilariously funny situations - the best of the latter being a mass impromptu plunge into a nightclub tank where a `` mermaid '' is performing .	there be some sharp and whipping line and some hilariously funny situation the best of the latter be a mass impromptu plunge into a nightclub tank where a mermaid be perform	there_E be_V some_J sharp_J and_C whipping_J line_N and_C some_J hilariously_R funny_J situation_N the_D best_J of_I the_D latter_J be_V a_D mass_J impromptu_J plunge_N into_V a_D nightclub_N tank_N where_W a_D mermaid_N be_V perform_V
space.n_2	1236	space	n	space.n.01	the unlimited expanse in which everything is located	Science is fully competent to deal with any element of experience which arises from an object in space and time .	science be fully competent to deal with any element of experience which arise from an object in space and time	science_N be_V fully_R competent_J to_T deal_V with_V any_D element_N of_I experience_N which_W arise_V from_I an_D object_N in_I space_N and_C time_N
find.v_15	1244	find	v	detect.v.01	discover or determine the existence, presence, or fact of	We simply find ourselves in the position of having no means for inquiring into the structure and meaning of this range of our experience .	we simply find ourselves in the position of have no mean for inquire into the structure and meaning of this range of our experience	we_P simply_R find_V ourselves_P in_I the_D position_N of_I have_V no_D mean_N for_I inquire_V into_V the_D structure_N and_C meaning_N of_R this_R range_N of_I our_P experience_N
find.v_16	1247	find	v	detect.v.01	discover or determine the existence, presence, or fact of	The situation in which we find ourselves is brought out with dramatic force in Arthur Miller 's play The Crucible , which deals with the Salem witch trials .	the situation in which we find ourselves be bring out with dramatic force in arthur miller 's play the crucible which deal with the salem witch trial	the_D situation_N in_R which_R we_P find_V ourselves_P be_V bring_V out_V with_I dramatic_J force_N in_I arthur_N miller_N 's_P play_N the_N crucible_N which_W deal_V with_V the_D salem_N witch_N trial_N
open.v_13	1248	open	v	open.v.04	begin or set in action, of meetings, speeches, recitals, etc.	As the play opens the audience is introduced to the community of Salem in Puritan America at the end of the eighteenth century .	as the play open the audience be introduce to the community of salem in puritan america at the end of the eighteenth century	as_I the_D play_N open_V the_D audience_N be_V introduce_V to_T the_D community_N of_I salem_N in_I puritan_N america_N at_I the_D end_N of_I the_D eighteenth_J century_N
grasp.v_1	1275	grasp	v	grok.v.01	get the meaning of something	The concept of unity , in which positive and negative are attributes of the same force , in which good and evil are relative , ever-changing , and always joined to the same phenomenon - such a concept is still reserved to the physical sciences and to the few who have grasped the history of ideas .	the concept of unity in which positive and negative be attribute of the same force in which good and evil be relative ever-changing and always joined to the same phenomenon such a concept be still reserve to the physical science and to the few who have grasp the history of idea	the_D concept_N of_I unity_N in_R which_R positive_J and_C negative_J be_V attribute_N of_I the_D same_J force_N in_R which_R good_N and_C evil_N be_V relative_J ever-changing_J and_C always_R joined_J to_T the_D same_J phenomenon_N such_J a_D concept_N be_V still_R reserve_V to_T the_D physical_N science_N and_C to_T the_D few_J who_W have_V grasp_V the_D history_N of_I idea_N
space.n_3	1288	space	n	space.n.01	the unlimited expanse in which everything is located	It is not material and is not a `` thing '' occupying space and time .	it be not material and be not a thing occupy space and time	it_P be_V not_R material_J and_C be_V not_R a_D thing_N occupy_V space_N and_C time_N
find.v_17	1299	find	v	find.v.05	come to believe on the basis of emotion, intuitions, or indefinite grounds	The members of the community do not create the spirit but rather find it present and waiting for them .	the member of the community do not create the spirit but rather find it present and wait for them	the_D member_N of_I the_D community_N do_V not_R create_V the_D spirit_N but_C rather_R find_V it_P present_J and_C wait_V for_V them_P
